codigo_registro,data_pregao,codigo_mercado,ativo,codigo_bdi,nome,especificador,identificacao_mercado,moeda_cotacao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,preco_melhor_compra,preco_melhor_venda,numero_negocios,quantidade_acoes,volume_financeiro,preco_fechamento_ajustado,fator_ajuste,codigo_papel_registro
01,2022-03-03,02,PETR4,010,PETROBRAS,PN,N2,R$,34.82,34.93,34.16,34.47,34.24,34.24,0,34259652600000,692374000.0,23867919.89,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-03-03,02,BRFS3,010,BRF SA,ON,NM,R$,16.55,16.64,15.96,16.08,16.02,16.02,0,16031717900000,159471000.0,2565261.6,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-14,02,VALE3,010,VALE,ON,NM,R$,91.11,92.17,90.82,91.37,91.57,91.5,0,91576229700000,228044000.0,20837224.87,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-14,02,PETR4,010,PETROBRAS,PN,N2,R$,33.86,33.94,32.82,33.15,33.0,32.99,0,33008512900000,556870000.0,18462767.07,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-14,02,BRFS3,010,BRF SA,ON,NM,R$,18.86,19.03,18.6,18.88,18.96,18.96,0,18972005500000,159630000.0,3015275.41,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-12,02,VALE3,010,VALE,ON,NM,R$,86.49,86.58,84.93,85.73,85.5,85.5,0,85518685200000,273354000.0,23436400.24,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-28,02,VALE3,010,VALE,ON,NM,R$,85.58,86.35,82.83,84.35,83.66,83.63,0,83667994500000,284530000.0,24001175.98,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-12,02,PETR4,010,PETROBRAS,PN,N2,R$,28.95,29.91,28.95,29.53,29.72,29.72,0,29739720400000,813782000.0,24035600.01,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-12,02,BRFS3,010,BRF SA,ON,NM,R$,23.25,24.16,22.91,23.48,23.84,23.84,0,23902345700000,93247000.0,2189510.61,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-04,02,VALE3,010,VALE,ON,NM,R$,98.68,102.09,98.12,100.54,101.97,101.96,0,101978761000000,305332000.0,30700465.3,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-28,02,PETR4,010,PETROBRAS,PN,N2,R$,33.8,34.35,32.2,33.24,32.54,32.53,0,32543997300000,1174005000.0,39034855.49,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-28,02,BRFS3,010,BRF SA,ON,NM,R$,22.97,23.08,22.55,22.76,22.85,22.84,0,22851472900000,65482000.0,1490532.91,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-04,02,PETR4,010,PETROBRAS,PN,N2,R$,34.08,34.68,33.82,34.13,34.23,34.21,0,34238857300000,554180000.0,18914217.04,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-03-04,02,BRFS3,010,BRF SA,ON,NM,R$,16.09,16.16,15.26,15.51,15.43,15.42,0,15442233400000,133360000.0,2069719.4,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-15,02,VALE3,010,VALE,ON,NM,R$,89.02,89.94,87.7,88.88,88.85,88.85,0,88868565100000,296249000.0,26331090.41,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-15,02,PETR4,010,PETROBRAS,PN,N2,R$,32.66,32.68,31.89,32.35,32.48,32.47,0,32489060800000,656890000.0,21251521.32,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-15,02,BRFS3,010,BRF SA,ON,NM,R$,19.2,19.2,18.81,18.98,19.0,19.0,0,19011696800000,77566000.0,1472564.16,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-13,02,VALE3,010,VALE,ON,NM,R$,84.84,85.23,83.7,84.38,84.2,84.2,0,84256573500000,231542000.0,19538446.01,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-31,02,VALE3,010,VALE,ON,NM,R$,82.94,82.94,80.87,81.45,80.87,80.87,0,80908104600000,313977000.0,25575709.64,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-13,02,PETR4,010,PETROBRAS,PN,N2,R$,29.53,30.63,29.5,30.28,30.32,30.3,0,30321975400000,767175000.0,23235149.43,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-13,02,BRFS3,010,BRF SA,ON,NM,R$,24.03,25.12,24.01,24.51,24.01,24.01,0,24073304700000,129772000.0,3180933.29,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-07,02,VALE3,010,VALE,ON,NM,R$,104.44,105.9,103.87,104.99,105.07,105.06,0,105073425000000,553053000.0,58065413.27,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-31,02,PETR4,010,PETROBRAS,PN,N2,R$,32.5,33.0,32.07,32.42,32.35,32.34,0,32350858000000,624503000.0,20249544.68,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-31,02,BRFS3,010,BRF SA,ON,NM,R$,22.76,22.76,21.67,22.15,22.33,22.25,0,22332650500000,123193000.0,2729552.48,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-07,02,PETR4,010,PETROBRAS,PN,N2,R$,34.5,34.6,31.63,33.02,31.8,31.8,0,31817193000000,1103399000.0,36434743.31,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-03-07,02,BRFS3,010,BRF SA,ON,NM,R$,15.19,15.28,14.36,14.74,14.36,14.36,0,14372432600000,129086000.0,1903461.02,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-16,02,VALE3,010,VALE,ON,NM,R$,89.44,90.62,89.1,89.74,89.5,89.47,0,89505837300000,207747000.0,18644671.2,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-16,02,PETR4,010,PETROBRAS,PN,N2,R$,32.83,33.7,32.77,33.34,32.93,32.93,0,32951579200000,658116000.0,21944068.13,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-16,02,BRFS3,010,BRF SA,ON,NM,R$,19.02,19.02,18.78,18.91,19.0,19.0,0,19012522800000,145767000.0,2757312.28,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-14,02,VALE3,010,VALE,ON,NM,R$,83.72,84.93,82.91,84.0,84.69,84.69,0,84706523800000,211834000.0,17795261.67,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-01,02,VALE3,010,VALE,ON,NM,R$,81.5,85.33,81.37,83.83,85.31,85.3,0,85317498100000,241313000.0,20229619.77,0,0000000000009999123100000010000000000000BRVALEACNOR0203
